timestamp,project_id,project,event_type,reason,precision,added,modified,deleted,sample_files
2026-05-24T22:23:00-06:00,ethyria,ETHYRIA (IA Evolutiva),historical_activity,initial_backfill,estimated,0,25,0,.gitignore; README.md; scripts/Check-Ethyria.ps1; scripts/Smoke-EthyriaMVP.ps1
2026-05-24T10:30:00-06:00,unova-games-studio,Unova Games Studio,historical_activity,initial_backfill,estimated,0,23,0,unovagames_dossier/.sources/16-1-6-__Unova_Marca_y_Estilo.md; unovagames_dossier/.sources/43_Unova_Games.md; unovagames_dossier/.sources/Unova_Games.md; unovagames_dossier/.sources/unova-hero-section (3).html
