timestamp,project_id,project,event_type,reason,precision,added,modified,deleted,sample_files
2026-06-12T23:36:20-06:00,vivo-promotor,Vivo Promotor,historical_activity,initial_backfill,estimated,0,164,0,.gitignore; CHANGELOG.md; README.md; android/.gradle/8.14.3/checksums/md5-checksums.bin
2026-06-12T19:29:01-06:00,julia,JULIA (Solar System Memory),historical_activity,initial_backfill,estimated,0,58,0,1JuliaDEV/.codex-grs-all-after.png; 1JuliaDEV/.codex-grs-all-before.png; 1JuliaDEV/.codex-grs-final-all.png; 1JuliaDEV/.codex-grs-final-physical.png
